,stat,diff_norm,diff,stat_category,category
0,BROKEN TACKLES,-0.12281082645824287,-2.5790273556231007,Attack,Attack
1,CARRIES,-0.028698353318414027,-1.8653929656969161,Attack,Attack
2,CONVERSIONS,-0.03924646781789639,-0.5102040816326531,Kicking,Kicking
3,DOMINANT TACKLES,0.07242106569071398,0.5069474598349979,Defence,Defence
4,HANDLING ERRORS,-0.12412663324517428,-1.3653929656969173,Attacking Errors,Attacking Errors
5,KNOCK ONS,-0.03488203792155159,-0.10464611376465482,Attacking Errors,Attacking Errors
6,METRES KICKED,-0.13435899108844288,-259.31285280069477,Kicking,Kicking
7,METRES MADE,-0.08732876258962327,-57.28766825879288,Attack,Attack
8,MISSED TACKLES,-0.060746851932262286,-0.9112027789839336,Defending Errors,Defending Errors
9,OFFLOADS,-0.08708447918174361,-0.7837603126356927,Attack,Attack
10,OFFSIDE PENALTIES,0.030286582718193664,0.06057316543638733,Defending Errors,Defending Errors
11,PASSES MADE,-0.08014963759644611,-31.258358662613986,Attack,Attack
12,PENALTY GOALS,-0.033613445378151266,-0.5714285714285714,Kicking,Kicking
13,TACKLES MADE,0.11939179432287511,10.267694311767258,Defence,Defence
14,TRIES,-0.10935012302793456,-0.3280503690838038,Attack,Attack
15,TRY ASSISTS,-0.11148501953973079,-0.44594007815892317,Attack,Attack
16,TURNOVERS CONCEDED,-0.1634009986973513,-1.3072079895788105,Attacking Errors,Attacking Errors
17,TURNOVERS WON,0.10312635692574904,0.618758141554494,Defence,Defence
