,Team,Type,Points
0,France,Tries,85
1,France,Conversions,20
2,France,Penalty Goals,36
3,France,Drop Goals,0
4,Ireland,Tries,120
5,Ireland,Conversions,36
6,Ireland,Penalty Goals,12
7,Ireland,Drop Goals,0
8,England,Tries,45
9,England,Conversions,10
10,England,Penalty Goals,51
11,England,Drop Goals,0
12,Scotland,Tries,50
13,Scotland,Conversions,14
14,Scotland,Penalty Goals,21
15,Scotland,Drop Goals,0
16,Wales,Tries,40
17,Wales,Conversions,12
18,Wales,Penalty Goals,21
19,Wales,Drop Goals,3
20,Italy,Tries,25
21,Italy,Conversions,8
22,Italy,Penalty Goals,27
23,Italy,Drop Goals,0
