,TEAM,FORWARD/BACK,CAPS,AGE,COUNT
0,England,Back,30.0,26.133333333333333,15
1,England,Forward,32.8,26.266666666666666,15
2,France,Back,17.0,25.0,13
3,France,Forward,18.846153846153847,26.0,13
4,Ireland,Back,25.77777777777778,27.27777777777778,18
5,Ireland,Forward,39.57142857142857,28.285714285714285,14
6,Italy,Back,6.9375,23.5625,16
7,Italy,Forward,15.941176470588236,25.764705882352942,17
8,Scotland,Back,26.444444444444443,27.166666666666668,18
9,Scotland,Forward,22.055555555555557,26.944444444444443,18
10,Wales,Back,32.44444444444444,27.833333333333332,18
11,Wales,Forward,34.11764705882353,27.058823529411764,17
